,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2023-07-06,0.07743452265954032,16.122957775447347,14.0,0.07030382467364411,1,0,0
2023-07-07,0.08062630359056744,16.280131792436432,16.0,0.06580173097548213,1,0,0
2023-07-10,0.09130164829724352,16.200047308478933,16.0,0.05055097098837544,1,0,0
2023-07-11,0.10817718391219922,15.623367463081664,16.0,0.06193880207848622,1,0,0
2023-07-12,0.11650840193989209,15.998034748031339,16.0,0.06363676976925046,1,0,0
2023-07-13,0.11297097896065145,15.993922986449927,16.0,0.05370586219848844,1,0,0
2023-07-14,0.12486039343563782,15.797114368711936,16.0,0.05935626943668096,1,0,0
2023-07-17,0.15178860094214652,16.237770948500348,16.0,0.08349397522243229,1,0,0
2023-07-18,0.15827648908544623,17.024597371801136,16.0,0.0745897926197947,1,0,0
2023-07-19,0.158273243191958,16.818485188750078,16.0,0.08646459686657881,1,0,0
2023-07-20,0.13416391575061581,16.7424338119043,16.0,0.08727182597093153,1,0,0
2023-07-21,0.14988842837213978,17.718732010731422,16.0,0.10882101780420012,1,0,0
2023-07-24,0.1419801330640844,17.89129140491632,16.0,0.10129524524661943,1,0,0
2023-07-25,0.1240811344720032,17.532944888037935,16.0,0.09272147888935289,1,0,0
2023-07-26,0.13993698953796674,17.899219386763924,14.0,0.09613183648463125,1,0,0
2023-07-27,0.08960382606872086,16.65610223872689,14.0,0.08106023172478949,1,0,0
2023-07-28,0.10289014665453378,17.138594727094915,14.0,0.09772525929671316,1,0,0
2023-07-31,0.09428016482490476,17.291245906300606,14.0,0.08546814905212402,1,0,0
2023-08-01,0.10100030325043452,17.288219326225345,14.0,0.0835414619455046,1,0,0
2023-08-02,0.08606068746336426,16.806037795499215,14.0,0.11295544140099517,1,0,0
2023-08-03,0.06470393783047701,15.910650029343884,14.0,0.10137955958395206,1,0,0
2023-08-04,0.06898688853032375,15.263971008765111,16.0,0.10632294944787074,1,0,0
2023-08-07,0.06523525652705287,16.382278300664755,16.0,0.10510451126306164,1,0,0
2023-08-08,0.03756354762227376,15.874451991263586,16.0,0.031920716896625505,1,1,1
2023-08-09,0.031301117359602504,15.341478570677051,16.0,0.09474632402561095,1,0,0
2023-08-10,0.009247807135034147,15.089524861716429,17.0,0.09732333603409238,1,0,0
2023-08-11,0.022679315693369784,14.825273532814316,19.0,0.0832198253858285,1,0,0
2023-08-14,0.011719751516824584,14.584978409792706,19.0,0.08552848457073048,1,0,0
2023-08-15,0.0018493235010526021,14.465432900481472,19.0,0.04887270186017628,1,1,1
2023-08-16,0.015701336427423218,14.445474481033372,17.0,0.12344301106839084,1,0,0
2023-08-17,0.008252520058817048,14.053574092552648,17.0,0.13367737126409845,1,0,0
2023-08-18,0.018006758076381857,14.019786401071592,19.0,0.07960110070515064,1,0,0
2023-08-21,0.015475069868014835,14.15339928246738,17.0,0.04272826322657629,1,1,1
2023-08-22,0.009807443472041655,14.860531267564811,17.0,0.04032119987092235,1,1,1
2023-08-23,0.005830452264324659,15.129412967325687,17.0,0.08048841557386088,1,0,0
