,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2019-12-10,0.012699912598199248,8.339393164543761,29.0,0.10807477936842075,1,0,0
2019-12-11,0.019224696620396386,8.482365811158301,27.0,0.11297428606630538,1,0,0
2019-12-12,0.022307495344308315,8.537240205232994,27.0,0.12434111550753157,1,0,0
2019-12-13,0.018934272465646274,8.52227626326197,27.0,0.12778726538034324,1,0,0
2019-12-16,0.014624627618208486,8.530665162805073,26.0,0.11531940072045066,1,0,0
2019-12-17,0.015947710148837224,8.575076072732356,23.0,0.1097559477650471,1,0,0
2019-12-18,0.01564586626061093,8.510519875150182,23.0,0.1049731447090923,1,0,0
2019-12-19,0.01439740845269899,8.457552901351843,23.0,0.10308353737519665,1,0,0
2019-12-20,0.008580415551006304,8.364126449024036,25.0,0.12811033391697524,1,0,0
2019-12-23,0.01026743340106595,8.843875795353261,24.0,0.1167974085259294,1,0,0
2019-12-24,0.007761412833571235,8.952832036778936,23.0,0.11064669833511154,1,0,0
2019-12-26,0.0034916980898795913,8.842178155912407,24.0,0.09839552198940671,1,0,0
2019-12-27,0.007285281291460777,8.717828516525794,25.0,0.10440390234095348,1,0,0
2019-12-30,0.00728969347331887,8.795019887197366,25.0,0.09854983412186391,1,0,0
2019-12-31,0.009857404078835508,8.708095627572257,25.0,0.08932151607547772,1,0,0
2020-01-02,0.005666420841292208,8.536190282421348,27.0,0.07765007064154315,1,0,0
2020-01-03,0.005687489251449129,8.385354600217427,27.0,0.04459594568340463,1,1,1
2020-01-06,0.011118760709323716,7.88147993519247,27.0,0.03854206795107226,1,1,1
2020-01-07,0.011141633392043993,7.774105343165583,31.0,0.07728319823173184,1,0,0
2020-01-08,0.00887371591827435,7.8288798497024255,31.0,0.05900457605156681,1,0,0
2020-01-09,0.013982578304270632,7.90743886076204,31.0,0.05865126826403604,1,0,0
2020-01-10,0.01765486651072301,7.850963380962534,31.0,0.06207367486975647,1,0,0
2020-01-13,0.021283075892871928,8.048560914856184,31.0,0.07564694387228149,1,0,0
2020-01-14,0.0027819164728422052,7.715757447811197,32.0,0.07290299114813192,1,0,0
2020-01-15,-0.007164352614011271,7.880529519349008,32.0,0.09279481773061499,1,0,0
2020-01-16,0.0055648529213163656,7.8069518739621175,32.0,0.0911138061425481,1,0,0
2020-01-17,-0.00496486317407463,7.830667278784303,34.0,0.09292339610477746,1,0,0
2020-01-21,-0.02393028794733354,8.104517267361128,34.0,0.1874272292693418,1,0,0
2020-01-22,-0.018935936129627073,8.019450094124391,34.0,0.12366228539748031,1,0,0
2020-01-23,-0.008512776203518868,7.7457446684883,34.0,0.17601813805394623,1,0,0
2020-01-24,-0.003554699779608761,7.740398789479188,33.0,0.14503141121732355,1,0,0
2020-01-27,-0.00921253679733347,7.804467870588968,33.0,0.14899447766730706,1,0,0
2020-01-28,-0.0013272172562857065,7.632797842596572,33.0,0.014753675112918758,1,1,1
2020-01-29,-0.011914128131480517,7.666808624709225,33.0,0.04439058220629637,1,1,1
2020-01-30,-0.016871269594053828,6.841849796285973,33.0,0.07019119133567189,1,0,0
2020-01-31,0.00705999273188862,8.118862600760965,34.0,0.07377803798210639,1,0,0
2020-02-03,0.022769366436338423,8.30054100567721,30.0,0.04828926276144158,1,1,1
2020-02-04,0.02075400525248572,8.32382223793274,30.0,0.03390895559414912,1,1,1
2020-02-05,0.022017735212912726,7.982320439793995,30.0,0.0121534180908024,1,1,1
2020-02-06,0.023058656340209538,7.656838083222299,30.0,0.00915871890694831,1,1,1
2020-02-07,0.017140398152878156,6.772645033893938,30.0,0.003308889583224334,1,1,1
2020-02-10,0.008077935486916488,6.401340021231712,28.0,0.002008968106693622,1,1,1
2020-02-11,0.02073201622970533,6.211068393166299,28.0,0.012061712223524113,1,1,1
2020-02-12,0.009938792696581267,5.975116315752773,26.0,0.008836938327829594,1,1,1
2020-02-13,0.012783682768382043,5.895345401781953,26.0,0.012246592472406625,1,1,1
2020-02-14,0.010951057832226496,5.799939786280011,26.0,0.010857678251975022,1,1,1
2020-02-18,0.006200657709908519,5.726298359161632,24.0,0.011689184662092877,1,1,1
2020-02-19,0.003704915801763242,5.55433561553901,26.0,0.006866946037928056,1,1,1
2020-02-20,0.013078399457065792,5.505361157691643,26.0,0.00733080885024444,1,1,1
2020-02-21,0.013497096437252054,5.245426060843542,26.0,0.009712524826641887,1,1,1
2020-02-24,0.026158691804917922,5.28800742834839,26.0,0.012680519730263516,1,1,1
2020-02-25,0.020543016289359173,5.226898798512795,26.0,0.017303370391062722,1,1,1
2020-02-26,0.011853002564253146,4.958991131360991,26.0,0.011941285435125548,0,1,0
2020-02-27,0.016936171824677437,5.077317675708497,24.0,0.0074625195907627485,1,1,1
2020-02-28,0.020605112152992433,5.049811579810372,24.0,0.007371531600713398,1,1,1
2020-03-02,0.0077596077972055255,4.610691118207716,26.0,0.007543658485412496,0,1,0
2020-03-03,0.0005132781504704198,4.461330715151716,27.0,0.007095375952863632,0,1,0
2020-03-04,-0.018937394575351263,4.561937632211103,29.0,0.002334530562453526,0,1,0
2020-03-05,-0.011689744444032257,4.4411720088889926,29.0,0.003061563633758994,0,1,0
2020-03-06,-0.007618828089641205,4.480450207897382,29.0,0.0038811427635595725,0,1,0
2020-03-09,-0.008519529033566009,4.590928669426246,29.0,0.00445554482240482,0,1,0
2020-03-10,-0.01858713195443773,4.715181023212829,29.0,0.02636297227777294,0,1,0
2020-03-11,0.007812519115439898,4.268538017392363,30.0,0.015013448986100627,0,1,0
2020-03-12,-0.00920418037030224,4.234653283439825,30.0,0.005131125513243701,0,1,0
2020-03-13,-0.011237312055062176,4.265756824715105,30.0,0.021482906194507267,0,1,0
2020-03-16,0.027908740296278545,3.904757144132056,31.0,0.024227070968480566,0,1,0
2020-03-17,-0.008532720257372617,3.403915789474812,31.0,0.02331109422778994,0,1,0
2020-03-18,0.022002069842577576,3.2525807987342605,32.0,0.022227562929071593,0,1,0
2020-03-19,-0.011488470294313657,2.967876629057198,33.0,0.004726127962785867,0,1,0
2020-03-20,-0.03865663601726155,3.132275938489869,33.0,0.052823595643515915,0,0,0
2020-03-23,0.016108267352155536,2.463042873753797,34.0,0.057410092853620656,0,0,0
2020-03-24,0.013560725506881255,2.474892481883263,34.0,0.05245705773292151,0,0,0
2020-03-25,0.0367450070684745,2.559704470475187,34.0,0.07863204928868296,0,0,0
2020-03-26,0.010945747119976978,2.3685407057537797,34.0,0.05120910430042003,0,0,0
2020-03-27,0.003275462780751859,2.377526278657074,34.0,0.05140481789697564,0,0,0
2020-03-30,-0.003781338903556808,2.362549486390692,35.0,0.07271451897025108,0,0,0
2020-03-31,-0.01817388783909646,2.3853059101525527,35.0,0.03234818187653415,0,1,0
2020-04-01,-0.011865975517163285,2.3882325154738693,35.0,0.057552800768496545,0,0,0
2020-04-02,-0.0011162122789540874,2.365851738409128,34.0,0.05444869451105592,0,0,0
2020-04-03,0.03329125700620583,2.345990403478395,35.0,0.020650529373150872,0,1,0
2020-04-06,0.017063499595851184,2.282071795691649,35.0,0.020340384006497545,0,1,0
2020-04-07,-0.003137953888427525,2.2237539730420766,36.0,0.10686645158540242,0,0,0
2020-04-08,-0.0010045669419422865,2.220066897226528,36.0,0.11218622132952183,0,0,0
2020-04-09,0.001726007948307462,2.2176460386984904,37.0,0.11978819388847001,0,0,0
2020-04-13,0.011498937699921719,2.2140625535427145,37.0,0.1257435041552485,0,0,0
2020-04-14,4.085434331901894e-05,2.1840802316663237,38.0,0.11755314798849636,0,0,0
2020-04-15,0.008820946209412206,2.187172490615146,39.0,0.11488936959288909,0,0,0
2020-04-16,-0.0068886385162141295,2.1663436662360986,40.0,0.12193070774521592,0,0,0
2020-04-17,-0.005713049871660658,2.168865094148031,40.0,0.11018714453436046,0,0,0
2020-04-20,-0.00024195390034531528,2.1668670315965817,39.0,0.054325244496370335,0,0,0
2020-04-21,0.0009370072305445731,2.1722954542740505,38.0,0.06104856835448092,0,0,0
2020-04-22,0.0029690682925620493,2.1775082756968747,38.0,0.05561477177157137,0,0,0
2020-04-23,0.0003249503588449443,2.1699175096785894,39.0,0.05304691533440681,0,0,0
2020-04-24,0.004901417906950201,2.1839554210574184,40.0,0.04821755844884161,0,1,0
2020-04-27,-0.0018393134274843348,2.179844207117793,40.0,0.04736773438076063,0,1,0
2020-04-28,-0.00038606050800726877,2.214814931295024,39.0,0.04511341875456396,0,1,0
2020-04-29,-0.001235854729848107,2.2357734893003482,39.0,0.053049762624734195,0,0,0
2020-04-30,-0.012282795416511227,2.224153193042489,39.0,0.03829710467888925,0,1,0
2020-05-01,-0.014105723993981023,2.241265405216209,39.0,0.042476740513663076,0,1,0
2020-05-04,-0.015997545990838802,2.2527954640677184,39.0,0.04968145412573119,0,1,0
2020-05-05,-0.013824152705722348,2.2514524588011224,39.0,0.05513828633569786,0,0,0
2020-05-06,-0.02161128239310095,2.2920870640854694,39.0,0.06376232514069026,0,0,0
2020-05-07,-0.02538251199786501,2.32306815502773,39.0,0.06587942391503344,0,0,0
2020-05-08,-0.02632114361139859,2.348681319274046,39.0,0.06643802590911063,0,0,0
2020-05-11,-0.020689486977673255,2.3330486213772312,39.0,0.0624721248663132,0,0,0
2020-05-12,-0.026868480796546912,2.3869414518577865,37.0,0.061411588046924016,0,0,0
2020-05-13,-0.02381867164986673,2.422546325825857,35.0,0.05666581143531231,0,0,0
2020-05-14,-0.019108957489320844,2.4265421052689717,35.0,0.04923964206501065,0,1,0
2020-05-15,-0.029934735772020105,2.494087535402753,33.0,0.0991564732109777,0,0,0
2020-05-18,-0.04089636103399741,2.610411548527101,33.0,0.12789337233141523,0,0,0
2020-05-19,-0.025329456728755417,2.506921435749823,35.0,0.07699297872403245,0,0,0
2020-05-20,-0.025486413981773204,2.501250814541413,37.0,0.11706343308071815,0,0,0
2020-05-21,-0.020753926852531634,2.519203312505733,37.0,0.11075888013666513,0,0,0
2020-05-22,-0.019905269905427403,2.52954829714243,37.0,0.10603781390504985,0,0,0
2020-05-26,-0.006244568412298257,2.475966350612233,37.0,0.06576446216688854,0,0,0
2020-05-27,-0.01548841284739666,2.4513057589748155,35.0,0.07496812638282604,0,0,0
2020-05-28,-0.01578207462055392,2.4265339318594816,37.0,0.07182540615358568,0,0,0
2020-05-29,-0.026211697445261528,2.440855894927145,39.0,0.128423054295896,0,0,0
2020-06-01,-0.019013553157657626,2.491277975043809,39.0,0.1265760676023529,0,0,0
2020-06-02,-0.02371791084399888,2.5287633490672277,39.0,0.23734301964256127,0,0,0
2020-06-03,-0.015239799358214512,2.5015530434709996,37.0,0.13630966207789996,0,0,0
2020-06-04,-0.014329523227055496,2.5174285561478293,37.0,0.21497943071708997,0,0,0
2020-06-05,-0.015728058120025423,2.521640131815336,35.0,0.20925491752141212,0,0,0
2020-06-08,-0.020151472574528206,2.5541292376901965,35.0,0.23374252594445333,0,0,0
2020-06-09,-0.013444528486734164,2.5490719947686626,35.0,0.19366330226220674,0,0,0
2020-06-10,-0.016179313454622424,2.5664406632031764,34.0,0.19715949873046862,0,0,0
2020-06-11,-0.018389675256601734,2.5957350213895096,32.0,0.19004761781633045,0,0,0
2020-06-12,-0.0169283503192732,2.6033556827428805,32.0,0.18349856464020958,0,0,0
2020-06-15,-0.015839448903537168,2.6038102522870465,32.0,0.16347230220005915,0,0,0
2020-06-16,0.0016046833134870653,2.5509488183617557,33.0,0.14071920412855926,0,0,0
2020-06-17,-0.0048583210943347055,2.5262363894038167,34.0,0.1321461942709683,0,0,0
2020-06-18,-0.003373793801068281,2.5262248189733927,36.0,0.06000406811556864,0,0,0
2020-06-19,-0.0206155208599359,2.505614932877046,36.0,0.06915243170146974,0,0,0
2020-06-22,-0.01082145991851835,2.4654455454394584,36.0,0.057025957933122755,0,0,0
2020-06-23,-0.020568496032088213,2.464435985809532,36.0,0.06963745612153319,0,0,0
2020-06-24,-0.023879637611521787,2.512920384025058,36.0,0.1853251321920888,0,0,0
2020-06-25,-0.02573520959633324,2.5372658533270234,34.0,0.1078656439777762,0,0,0
2020-06-26,-0.02648790867423223,2.550499068177469,34.0,0.10996100790711333,0,0,0
2020-06-29,-0.02691048489321446,2.5947518760701747,34.0,0.13037326360589158,0,0,0
2020-06-30,-0.028124015592724483,2.643397912449784,34.0,0.14057153876367068,0,0,0
2020-07-01,-0.013356410138517738,2.5785554448547265,34.0,0.09010478952884832,0,0,0
2020-07-02,-0.020301814414905195,2.5944713736444562,34.0,0.09352802278532996,0,0,0
2020-07-06,-0.022035983929086456,2.6169681107739087,34.0,0.11237318247232114,0,0,0
2020-07-07,-0.019583354483734716,2.6130099609243627,34.0,0.10541070492662752,0,0,0
2020-07-08,-0.022449014197555073,2.6200644123524386,34.0,0.19805522615433463,0,0,0
2020-07-09,-0.02397764262734281,2.638041578963242,34.0,0.11124507570899572,0,0,0
2020-07-10,-0.022201994127544644,2.67097771193894,34.0,0.10451275207549221,0,0,0
2020-07-13,-0.01957233203376596,2.671708446314225,34.0,0.22037095278118785,0,0,0
2020-07-14,-0.01564988326823169,2.663447958089459,34.0,0.0966541343625455,0,0,0
2020-07-15,-0.012163584851542453,2.645353539124595,34.0,0.08511582680837548,0,0,0
2020-07-16,-0.015164696350432827,2.6317817526891254,34.0,0.06600277781119991,0,0,0
2020-07-17,-0.008921600747650693,2.6256785726993397,34.0,0.06568388392816578,0,0,0
2020-07-20,-0.0029806117658823794,2.614319796209972,34.0,0.052340587362132054,0,0,0
2020-07-21,-0.005463189181711847,2.6050268492872135,34.0,0.049510769805651576,0,1,0
2020-07-22,-0.0007045316487364062,2.558676134369504,35.0,0.043984232527578215,0,1,0
2020-07-23,-0.0035979266527483844,2.577772583719956,36.0,0.04983803268862371,0,1,0
2020-07-24,2.6933073176138578e-05,2.5479453353637442,39.0,0.04713553986102079,0,1,0
2020-07-27,-0.003987840537811316,2.531473240149744,40.0,0.041263370458412635,0,1,0
2020-07-28,-0.011178639748499641,2.5178981589289333,40.0,0.05685955507213414,0,0,0
2020-07-29,-0.012127766954659336,2.522377931142168,40.0,0.0675357687216792,0,0,0
2020-07-30,0.013143460620800518,2.453775534946551,41.0,0.06237170583908142,0,0,0
2020-07-31,0.03321013032277964,2.508521031291579,45.0,0.07734856060673714,0,0,0
2020-08-03,0.04424687514186765,2.7273026055491703,45.0,0.10545077184109242,0,0,0
2020-08-04,0.04016084948635079,2.8046305282764075,45.0,0.12336137147197973,0,0,0
2020-08-05,0.05956329982906983,3.15004312510054,41.0,0.25610014457566643,0,0,0
2020-08-06,0.05004337460835018,3.189398776675864,43.0,0.3058786661178663,0,0,0
2020-08-07,0.057219887243951106,3.4546435617189855,41.0,0.42585516230650977,0,0,0
2020-08-10,0.03856837576314209,3.2975313486883207,39.0,0.24703669413402973,0,0,0
2020-08-11,0.0497620280254818,3.5182176693017992,37.0,0.36816729185557906,0,0,0
2020-08-12,0.04092832020995374,3.5396377406417736,37.0,0.2869459709921595,0,0,0
2020-08-13,0.041232074463346535,3.6367634834370355,37.0,0.28354448722377923,0,0,0
2020-08-14,0.04827593476566516,3.821822274937505,41.0,0.33732620680283787,0,0,0
2020-08-17,0.041866457285370196,3.8479779264088125,41.0,0.3292954454537189,0,0,0
2020-08-18,0.04623488523084962,4.004821107183783,41.0,0.353931011813468,0,0,0
2020-08-19,0.03844801222245575,4.005376365394638,41.0,0.31053608902710883,0,0,0
2020-08-20,0.03439403024589449,4.029446119935163,41.0,0.2778555059690673,0,0,0
2020-08-21,0.033455323606532694,4.079311785644509,40.0,0.2563258162750034,0,0,0
2020-08-24,0.039030504773520214,4.202229156546166,40.0,0.298052983881952,0,0,0
2020-08-25,0.04041231189864991,4.302617684522353,39.0,0.31352220043394974,0,0,0
2020-08-26,0.037159695503432566,4.342117863213268,37.0,0.2994613037882504,0,0,0
2020-08-27,0.04611628901275289,4.537110055349721,37.0,0.36602143770180456,0,0,0
2020-08-28,0.04694671403438999,4.666001481491242,37.0,0.41096085508548974,0,0,0
2020-08-31,0.045139697079569885,4.755754132041802,36.0,0.4142023048958672,0,0,0
2020-09-01,0.03323452104795077,4.643716740586892,34.0,0.3306132989750773,0,0,0
2020-09-02,0.025725235874074492,4.601410807508812,34.0,0.2762923442055916,0,0,0
2020-09-03,0.020383187738731934,4.600669425706281,33.0,0.22935290334981606,0,0,0
2020-09-04,0.019353953000183388,4.610269050634374,33.0,0.2090291706652645,0,0,0
2020-09-08,0.03088449272619087,4.696148870056268,33.0,0.24271267995119733,0,0,0
2020-09-09,0.03599727399683417,4.796542717228997,33.0,0.2746460413319147,0,0,0
2020-09-10,0.030744718947083527,4.787577707211112,31.0,0.26179685539548436,0,0,0
2020-09-11,0.0274948945518787,4.797628428012815,30.0,0.2531870659112757,0,0,0
2020-09-14,0.026641417493428854,4.820670801587025,30.0,0.26164304495254087,0,0,0
2020-09-15,0.025527225540928455,4.83717401569599,30.0,0.2582642559964916,0,0,0
